K00001	Adh; Alcohol dehydrogenase (EC:1.1.1.1 1.2.1.10); K00001 alcohol dehydrogenase [EC:1.1.1.1] (A)
K00049	GRHPR, GLXR, GLYD, PH2; glyoxylate reductase/hydroxypyruvate reductase (EC:1.1.1.79 1.1.1.81); K00049 glyoxylate/hydroxypyruvate reductase [EC:1.1.1.79 1.1.1.81] (A)
K00050	putative D-isomer specific 2-hydroxyacid dehydrogenase family protein; K00050 hydroxypyruvate reductase [EC:1.1.1.81] (A)
K00051	lactate/malate dehydrogenase family protein; K00051 malate dehydrogenase (NADP+) [EC:1.1.1.82] (A)
K00052	IMD3; 3-isopropylmalate dehydrogenase 1; K00052 3-isopropylmalate dehydrogenase [EC:1.1.1.85] (A)
K00053	ketol-acid reductoisomerase; K00053 ketol-acid reductoisomerase [EC:1.1.1.86] (A)
K00054	hydroxymethylglutaryl-CoA reductase, degradative; K00054 hydroxymethylglutaryl-CoA reductase [EC:1.1.1.88] (A)
K00055	zinc-containing alcohol dehydrogenase superfamily protein; K00055 aryl-alcohol dehydrogenase [EC:1.1.1.90] (A)
K00057	gpsA; glycerol-3-phosphate dehydrogenase (NAD+) (EC:1.1.1.94); K00057 glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:1.1.1.94] (A)
K00058	PHGDH, 3-PGDH, 3PGDH, PDG, PGAD, PGD, PGDH, SERA; phosphoglycerate dehydrogenase (EC:1.1.1.95); K00058 D-3-phosphoglycerate dehydrogenase [EC:1.1.1.95] (A)
K00059	3-oxoacyl-[acyl-carrier-protein] reductase; K00059 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100] (A)
K00060	threonine 3-dehydrogenas; K00060 threonine 3-dehydrogenase [EC:1.1.1.103] (A)
K00061	RDH5, HSD17B9, RDH1, SDR9C5; retinol dehydrogenase 5 (11-cis/9-cis) (EC:1.1.1.315); K00061 retinol dehydrogenase [EC:1.1.1.-] (A)
K00062	ARA2; Ara2p; K00062 D-arabinose 1-dehydrogenase [EC:1.1.1.116] (A)
K00063	ARA1; Ara1p; K00063 D-arabinose 1-dehydrogenase [EC:1.1.1.117] (A)
K00064	D-threo-aldose 1-dehydrogenase; K00064 D-threo-aldose 1-dehydrogenase [EC:1.1.1.122] (A)
K00065	gluconate 5-dehydrogenase, putative (EC:1.1.1.125); K00065 2-deoxy-D-gluconate 3-dehydrogenase [EC:1.1.1.125] (A)
K00066	algD; GDP-mannose 6-dehydrogenase AlgD; K00066 GDP-mannose 6-dehydrogenase [EC:1.1.1.132] (A)
K00067	NAD dependent epimerase/dehydratase family protein (EC:1.1.1.133); K00067 dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133] (A)
K00068	srlD; sorbitol-6-phosphate dehydrogenase (EC:1.1.1.140); K00068 sorbitol-6-phosphate 2-dehydrogenase [EC:1.1.1.140] (A)
K00069	HPGD, 15-PGDH, PGDH, PGDH1, PHOAR1, SDR36C1; hydroxyprostaglandin dehydrogenase 15-(NAD) (EC:1.1.1.141); K00069 15-hydroxyprostaglandin dehydrogenase (NAD) [EC:1.1.1.141] (A)
K00070	HSD3B1, 3BETAHSD, HSD3B, HSDB3, HSDB3A, I, SDR11E1; hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 1 (EC:1.1.1.145 5.3.3.1); K00070 3beta-hydroxy-delta5-steroid dehydrogenase / steroid delta-isomerase [EC:1.1.1.145 5.3.3.1] (A)
K00071	HSD11B2, AME, AME1, HSD11K, HSD2, SDR9C3; hydroxysteroid (11-beta) dehydrogenase 2 (EC:1.1.1.146); K00071 corticosteroid 11-beta-dehydrogenase isozyme 2 [EC:1.1.1.-] (A)
K00072	SPR, SDR38C1; sepiapterin reductase (7,8-dihydrobiopterin:NADP+ oxidoreductase) (EC:1.1.1.153); K00072 sepiapterin reductase [EC:1.1.1.153] (A)
K00073	allD; ureidoglycolate dehydrogenase (EC:1.1.1.154); K00073 ureidoglycolate dehydrogenase [EC:1.1.1.154] (A)
K00074	3-hydroxybutyryl-CoA dehydrogenase; K00074 3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157] (A)
K00075	udp-n-acetylenolpyruvoylglucosamine reductase; K00075 UDP-N-acetylmuramate dehydrogenase [EC:1.1.1.158] (A)
K00076	hdhA; 7-alpha-hydroxysteroid dehydrogenase, NAD-dependent (EC:1.1.1.159); K00076 7-alpha-hydroxysteroid dehydrogenase [EC:1.1.1.159] (A)
K00077	PAN5; Pan5p; K00077 2-dehydropantoate 2-reductase [EC:1.1.1.169] (A)
K00078	DHDH, 2DD, HUM2DD; dihydrodiol dehydrogenase (dimeric) (EC:1.3.1.20 1.1.1.179); K00078 dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP) [EC:1.3.1.20 1.1.1.179] (A)
K00079	CBR1, CBR, SDR21C1, hCBR1; carbonyl reductase 1 (EC:1.1.1.189 1.1.1.197 1.1.1.184); K00079 carbonyl reductase 1 [EC:1.1.1.184 1.1.1.189 1.1.1.197] (A)
K00081	Cbr2, MLCR; carbonyl reductase 2 (EC:1.1.1.184); K00081 carbonyl reductase 2 [EC:1.1.1.184] (A)
K00082	ribD2; riboflavin reductase (EC:1.1.1.193); K00082 5-amino-6-(5-phosphoribosylamino)uracil reductase [EC:1.1.1.193] (A)
K00083	CAD2; cinnamyl alcohol dehydrogenase 2; K00083 cinnamyl-alcohol dehydrogenase [EC:1.1.1.195] (A)
K00084	CBR3, SDR21C2, hCBR3; carbonyl reductase 3 (EC:1.1.1.184); K00084 carbonyl reductase 3 [EC:1.1.1.184] (A)
K00085	aldose-6-phosphate reductase (NADPH2); K00085 aldose-6-phosphate reductase (NADPH2) [EC:1.1.1.200] (A)
K00086	dhaT; 1,3-propanediol oxidoreductase; K00086 1,3-propanediol dehydrogenase [EC:1.1.1.202] (A)
K00087	xdhA; xanthine dehydrogenase, molybdenum binding subunit; K00087 xanthine dehydrogenase molybdenum-binding subunit [EC:1.17.1.4] (A)
K00088	IMPDH1, IMPD, IMPD1, LCA11, RP10, sWSS2608; IMP (inosine 5'-monophosphate) dehydrogenase 1 (EC:1.1.1.205); K00088 IMP dehydrogenase [EC:1.1.1.205] (A)
K00089	aldo-keto reductase family 1 member C2-like; K00089 3alpha-hydroxysteroid dehydrogenase (A-specific) [EC:1.1.1.213] K00212 trans-1,2-dihydrobenzene-1,2-diol dehydrogenase [EC:1.3.1.20] (A)
K00090	MDH97; alpha-ketoisocaproate reductase or hydroxyisocaproate dehydrogenase (EC:1.1.1.215); K00090 gluconate 2-dehydrogenase [EC:1.1.1.215] (A)
K00091	NAD-dependent epimerase/dehydratase; K00091 dihydroflavonol-4-reductase [EC:1.1.1.219] (A)
K00092	AKR1C4, 3-alpha-HSD, C11, CDR, CHDR, DD-4, DD4, HAKRA; aldo-keto reductase family 1, member C4 (chlordecone reductase; 3-alpha hydroxysteroid dehydrogenase, type I; dihydrodiol dehydrogenase 4) (EC:1.1.1.225 1.1.1.50); K00037 3-alpha-hydroxysteroid dehydrogenase [EC:1.1.1.50] K00089 3alpha-hydroxysteroid dehydrogenase (A-specific) [EC:1.1.1.213] K00092 chlordecone reductase [EC:1.1.1.225] K00212 trans-1,2-dihydrobenzene-1,2-diol dehydrogenase [EC:1.3.1.20] (A)
K00093	RecName: Full=NAD-dependent methanol dehydrogenase; Short=MEDH; EC=1.1.1.244;
K00094	gatD; galactitol-1-phosphate dehydrogenase, Zn-dependent and NAD(P)-binding (EC:1.1.1.251); K00094 galactitol-1-phosphate 5-dehydrogenase [EC:1.1.1.251] (A)
K00095	mannitol dehydrogenase (EC:1.1.1.255); K00095 mannitol dehydrogenase [EC:1.1.1.255] (A)
K00096	glycerol dehydrogenase; K00096 glycerol-1-phosphate dehydrogenase [NAD(P)] [EC:1.1.1.261] (A)
K00097	pdxA; 4-hydroxy-L-threonine phosphate dehydrogenase, NAD-dependent (EC:1.1.1.262); K00097 4-hydroxythreonine-4-phosphate dehydrogenase [EC:1.1.1.262] (A)
K00098	idnD; L-idonate 5-dehydrogenase, NAD-binding (EC:1.1.1.264); K00098 L-idonate 5-dehydrogenase [EC:1.1.1.264] (A)
K00099	DXR; 1-deoxy-D-xylulose 5-phosphate reductoisomerase; K00099 1-deoxy-D-xylulose-5-phosphate reductoisomerase [EC:1.1.1.267] (A)
K00100	Akr1c6, 3alpha-HSD, Akr1c1, Hsd17b5; aldo-keto reductase family 1, member C6; K00100 [EC:1.1.1.-] (A)
K00101	CYB2, FCB2; Cyb2p; K00101 L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3] (A)
K00102	LDHD, DLD; lactate dehydrogenase D (EC:1.1.2.4); K00102 D-lactate dehydrogenase (cytochrome) [EC:1.1.2.4] (A)
K00103	Gulo, 5730581M22, AU018375, BC028822, sfx, unh, unhip; gulonolactone (L-) oxidase (EC:1.1.3.8); K00103 L-gulonolactone oxidase [EC:1.1.3.8] (A)
K00104	DEHA2C01584p; K00104 glycolate oxidase [EC:1.1.3.15] (A)
K00105	glpD; oxygen-dependent membrane associated glycerol-3-phosphate dehydrogenase (EC:1.1.3.21); K00105 alpha-glycerophosphate oxidase [EC:1.1.3.21] (A)
K00106	XDH, XO, XOR; xanthine dehydrogenase (EC:1.17.1.4 1.17.3.2); K00106 xanthine dehydrogenase/oxidase [EC:1.17.1.4 1.17.3.2] (A)
K00107	ALO1; Alo1p; K00107 D-arabinono-1,4-lactone oxidase [EC:1.1.3.37] (A)
K00108	CHDH; choline dehydrogenase (EC:1.1.99.1); K00108 choline dehydrogenase [EC:1.1.99.1] (A)
K00109	L2HGDH, C14orf160; L-2-hydroxyglutarate dehydrogenase (EC:1.1.99.2); K00109 2-hydroxyglutarate dehydrogenase [EC:1.1.99.2] (A)
K00111	GPD2, GDH2, GPDM, mGPDH; glycerol-3-phosphate dehydrogenase 2 (mitochondrial) (EC:1.1.5.3); K00111 glycerol-3-phosphate dehydrogenase [EC:1.1.5.3] (A)
K00112	glpB; sn-glycerol-3-phosphate dehydrogenase (anaerobic), membrane anchor subunit (EC:1.1.5.3); K00112 glycerol-3-phosphate dehydrogenase subunit B [EC:1.1.5.3] (A)
K00113	glpC; anaerobic sn-glycerol-3-phosphate dehydrogenase, C subunit, 4Fe-4S iron-sulfur cluster; K00113 glycerol-3-phosphate dehydrogenase subunit C [EC:1.1.5.3] (A)
K00114	PQQ-dependent dehydrogenase; K00114 alcohol dehydrogenase (cytochrome c) [EC:1.1.2.8] (A)
K00115	CG12398 gene product from transcript CG12398-RA (EC:1.1.99.1 1.1.99.10); K00115 glucose dehydrogenase (acceptor) [EC:1.1.99.10] (A)
K00116	malate:quinone oxidoreductase, putative (EC:1.1.99.16); K00116 malate dehydrogenase (quinone) [EC:1.1.5.4] (A)
K00117	gcd; glucose dehydrogenase (EC:1.1.5.2); K00117 quinoprotein glucose dehydrogenase [EC:1.1.5.2] (A)
K00118	NAD-binding Rossmann fold oxidoreductase; K00118 glucose-fructose oxidoreductase [EC:1.1.99.28] (A)
K00119	alkJ; alcohol dehydrogenase (acceptor); K00119 [EC:1.1.99.-] (A)
K00121	ADH5, ADH-3, ADHX, FALDH, FDH, GSH-FDH, GSNOR; alcohol dehydrogenase 5 (class III), chi polypeptide (EC:1.1.1.1 1.1.1.284); K00121 S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1] (A)
K00122	FDH; Formate dehydrogenase; K00122 formate dehydrogenase [EC:1.2.1.2] (A)
K00123	fdoG; formate dehydrogenase-O, large subunit (EC:1.2.1.2); K00123 formate dehydrogenase, alpha subunit [EC:1.2.1.2] (A)
K00124	fdoH; formate dehydrogenase-O, Fe-S subunit; K00124 formate dehydrogenase, beta subunit (A)
K00125	Formate dehydrogenase; K00125 formate dehydrogenase, beta subunit [EC:1.2.1.2] (A)
K00126	formate dehydrogenase subunit delta; K00126 formate dehydrogenase, delta subunit [EC:1.2.1.2] (A)
K00127	fdoI; formate dehydrogenase-O, cytochrome b556 subunit; K00127 formate dehydrogenase, gamma subunit (A)
K00128	ALDH2, ALDH-E2, ALDHI, ALDM; aldehyde dehydrogenase 2 family (mitochondrial) (EC:1.2.1.3); K00128 aldehyde dehydrogenase (NAD+) [EC:1.2.1.3] (A)
K00129	ALDH3A1, ALDH3, ALDHIII; aldehyde dehydrogenase 3 family, member A1 (EC:1.2.1.5); K00129 aldehyde dehydrogenase (NAD(P)+) [EC:1.2.1.5] (A)
K00130	ALDH10A8; betaine aldehyde dehydrogenase 1; K00130 betaine-aldehyde dehydrogenase [EC:1.2.1.8] (A)
K00131	ALDH11A3; NADP-dependent glyceraldehyde-3-phosphate dehydrogenase; K00131 glyceraldehyde-3-phosphate dehydrogenase (NADP) [EC:1.2.1.9] (A)
K00132	acetaldehyde dehydrogenase (acetylating); K00132 acetaldehyde dehydrogenase (acetylating) [EC:1.2.1.10] (A)
K00133	semialdehyde dehydrogenase-like protein; K00133 aspartate-semialdehyde dehydrogenase [EC:1.2.1.11] (A)
K00134	GAPDH, G3PD, GAPD; glyceraldehyde-3-phosphate dehydrogenase (EC:1.2.1.12); K00134 glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12] (A)
K00135	ALDH5F1; succinate-semialdehyde dehydrogenase; K00135 succinate-semialdehyde dehydrogenase (NADP+) [EC:1.2.1.16] (A)
K00137	prr; gamma-aminobutyraldehyde dehydrogenase; K00137 aminobutyraldehyde dehydrogenase [EC:1.2.1.19] (A)
K00138	aldB; aldehyde dehydrogenase B (EC:1.2.1.22); K00138 aldehyde dehydrogenase [EC:1.2.1.-] (A)
K00139	ALDH5A1, SSADH, SSDH; aldehyde dehydrogenase 5 family, member A1 (EC:1.2.1.24); K00139 succinate-semialdehyde dehydrogenase [EC:1.2.1.24] (A)
K00140	ALDH6A1, MMSADHA, MMSDH; aldehyde dehydrogenase 6 family, member A1 (EC:1.2.1.27 1.2.1.18); K00140 malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase [EC:1.2.1.18 1.2.1.27] (A)
K00141	xylC; benzaldehyde dehydrogenase II; K00141 benzaldehyde dehydrogenase (NAD) [EC:1.2.1.28] (A)
K00142	AASDH, ACSF4, LYS2, NRPS1098, NRPS998; aminoadipate-semialdehyde dehydrogenase (EC:6.2.1.-); K00142 acyl-CoA synthetase [EC:6.2.1.-] (A)
K00143	LYS2; Lys2p; K00143 L-aminoadipate-semialdehyde dehydrogenase [EC:1.2.1.31] (A)
K00145	N-acetyl-gamma-glutamyl-phosphate reductase; K00145 N-acetyl-gamma-glutamyl-phosphate reductase [EC:1.2.1.38] (A)
K00146	feaB; phenylacetaldehyde dehydrogenase (EC:1.2.1.39); K00146 phenylacetaldehyde dehydrogenase [EC:1.2.1.39] (A)
K00147	glutamate-5-semialdehyde dehydrogenase; K00147 glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41] (A)
K00148	formaldehyde dehydrogenase, glutathione-independent; K00148 glutathione-independent formaldehyde dehydrogenase [EC:1.2.1.46] (A)
K00149	ALDH9A1, ALDH4, ALDH7, ALDH9, E3, TMABADH; aldehyde dehydrogenase 9 family, member A1 (EC:1.2.1.3 1.2.1.19 1.2.1.47); K00149 aldehyde dehydrogenase family 9 member A1 [EC:1.2.1.47 1.2.1.3] (A)
K00150	glyceraldehyde-3-phosphate dehydrogenase (EC:1.2.1.59); K00150 glyceraldehyde-3-phosphate dehydrogenase (NAD(P)) [EC:1.2.1.59] (A)
K00151	hpaE; 5-carboxy-2-hydroxymuconate semialdehyde dehydrogenase; K00151 5-carboxymethyl-2-hydroxymuconic-semialdehyde dehydrogenase [EC:1.2.1.60] (A)
K00152	salicylaldehyde dehydrogenase NahF; K00152 salicylaldehyde dehydrogenase [EC:1.2.1.65] (A)
K00153	adhE2; zinc-dependent alcohol dehydrogenase AdhE2 (EC:1.2.1.-); K00153 S-(hydroxymethyl)mycothiol dehydrogenase [EC:1.1.1.306] (A)
K00154	aldehyde dehydrogenase (NAD) family protein (EC:1.2.1.68); K00154 coniferyl-aldehyde dehydrogenase [EC:1.2.1.68] (A)
K00155	potassium-activated aldehyde dehydrogenase; K00155 [EC:1.2.1.-] (A)
K00156	poxB; pyruvate dehydrogenase (pyruvate oxidase), thiamin-dependent, FAD-binding (EC:1.2.5.1); K00156 pyruvate dehydrogenase (quinone) [EC:1.2.5.1] (A)
K00157	AOX1, AO, AOH1; aldehyde oxidase 1 (EC:1.2.3.1); K00157 aldehyde oxidase [EC:1.2.3.1] (A)
K00158	pyruvate oxidase; K00158 pyruvate oxidase [EC:1.2.3.3] (A)
K00161	PDHA1, PDHA, PDHCE1A, PHE1A; pyruvate dehydrogenase (lipoamide) alpha 1 (EC:1.2.4.1); K00161 pyruvate dehydrogenase E1 component subunit alpha [EC:1.2.4.1] (A)
K00162	PDHB, PDHBD, PDHE1-B, PHE1B; pyruvate dehydrogenase (lipoamide) beta (EC:1.2.4.1); K00162 pyruvate dehydrogenase E1 component subunit beta [EC:1.2.4.1] (A)
K00163	aceE; pyruvate dehydrogenase, decarboxylase component E1, thiamin-binding (EC:1.2.4.1); K00163 pyruvate dehydrogenase E1 component [EC:1.2.4.1] (A)
K00164	OGDH, AKGDH, E1k, OGDC; oxoglutarate (alpha-ketoglutarate) dehydrogenase (lipoamide) (EC:1.2.4.2); K00164 2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2] (A)
K00166	BCKDHA, BCKDE1A, MSU, MSUD1, OVD1A; branched chain keto acid dehydrogenase E1, alpha polypeptide (EC:1.2.4.4); K00166 2-oxoisovalerate dehydrogenase E1 component, alpha subunit [EC:1.2.4.4] (A)
K00167	BCKDHB, E1B, dJ279A18.1; branched chain keto acid dehydrogenase E1, beta polypeptide (EC:1.2.4.4); K00167 2-oxoisovalerate dehydrogenase E1 component, beta subunit [EC:1.2.4.4] (A)
K00169	pyruvate flavodoxin/ferredoxin oxidoreductase-like protein; K00169 pyruvate ferredoxin oxidoreductase, alpha subunit [EC:1.2.7.1] (A)
K00170	thiamine pyrophosphate enzyme-like protein; K00170 pyruvate ferredoxin oxidoreductase, beta subunit [EC:1.2.7.1] (A)
K00171	padF; phenylglyoxylate:acceptor oxidoreductase; K00171 pyruvate ferredoxin oxidoreductase, delta subunit [EC:1.2.7.1] (A)
K00172	2-oxoacid:acceptor oxidoreductase subunit gamma, pyruvate/2-ketoisovalerate (EC:1.2.7.1); K00172 pyruvate ferredoxin oxidoreductase, gamma subunit [EC:1.2.7.1] (A)
K00174	2-oxoglutarate oxidoreductase alpha subunit (EC:1.2.7.3); K00174 2-oxoglutarate ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3] (A)
K00175	2-oxoglutarate oxidoreductase beta subunit (EC:1.2.7.3); K00175 2-oxoglutarate ferredoxin oxidoreductase subunit beta [EC:1.2.7.3] (A)
K00176	oorD; 2-oxoglutarate-acceptor oxidoreductase subunit OorD; K00176 2-oxoglutarate ferredoxin oxidoreductase subunit delta [EC:1.2.7.3] (A)
K00177	oorC; 2-oxoglutarate-acceptor oxidoreductase subunit OorC; K00177 2-oxoglutarate ferredoxin oxidoreductase subunit gamma [EC:1.2.7.3] (A)
K00178	aldehyde dehydrogenase (EC:1.2.7.-); K00178 oxidoreductase containing iron-sulfur protein [EC:1.2.7.-] (A)
K00179	putative indolepyruvate ferredoxin alpha subunit A; K00179 indolepyruvate ferredoxin oxidoreductase, alpha subunit [EC:1.2.7.8] (A)
K00180	putative indolepyruvate oxidoreductase subunit B; K00180 indolepyruvate ferredoxin oxidoreductase, beta subunit [EC:1.2.7.8] (A)
K00181	PORCN, DHOF, FODH, MG61, PORC, PPN, por; porcupine homolog (Drosophila); K00181 porcupine (A)
K00182	WNT2, INT1L1, IRP; wingless-type MMTV integration site family member 2; K00182 wingless-type MMTV integration site family, member 2 (A)
K00183	anaerobic dehydrogenase; K00183 molybdopterin oxidoreductase, molybdopterin binding subunit [EC:1.2.7.-] (A)
K00184	molybdopterin oxidoreductase, iron-sulfur binding subunit; K00184 molybdopterin oxidoreductase, iron-sulfur binding subunit [EC:1.2.7.-] (A)
K00185	polysulfide reductase NrfD; K00185 molybdopterin oxidoreductase, membrane subunit [EC:1.2.7.-] (A)
